,1,2,1.1,1000,0,10
720,46,433.0,1.0,1000,,
721,46,434.0,1.0,1000,,
722,46,435.0,1.0,1000,,
723,46,436.0,1.0,1000,,
724,46,437.0,1.0,1000,,
725,46,48.0,1.0,1000,,
726,46,438.0,1.0,1000,,
727,46,439.0,1.0,1000,,
728,46,440.0,1.0,1000,,
729,46,186.0,1.0,1000,,
730,46,441.0,1.0,1000,,
731,46,442.0,1.0,1000,,
732,46,196.0,1.0,1000,,
733,46,197.0,1.0,1000,,
734,46,168.0,1.0,1000,,
735,46,84.0,1.0,1000,,
736,46,88.0,1.0,1000,,
737,46,89.0,1.0,1000,,
738,46,91.0,1.0,1000,,
739,46,93.0,1.0,1000,,
740,46,355.0,1.0,1000,,
741,46,99.0,1.0,1000,,
742,47,27.0,1.0,1000,,
743,47,443.0,1.0,1000,,
744,47,444.0,1.0,1000,,
745,47,445.0,1.0,1000,,
746,47,446.0,1.0,1000,,
747,47,447.0,1.0,1000,,
748,47,448.0,1.0,1000,,
749,47,449.0,1.0,1000,,
750,47,450.0,1.0,1000,,
751,47,451.0,1.0,1000,,
752,47,452.0,1.0,1000,,
753,47,453.0,1.0,1000,,
754,47,454.0,1.0,1000,,
755,47,455.0,1.0,1000,,
756,47,456.0,1.0,1000,,
757,47,457.0,1.0,1000,,
758,47,458.0,1.0,1000,,
759,47,459.0,1.0,1000,,
760,47,460.0,1.0,1000,,
761,47,461.0,1.0,1000,,
762,47,462.0,1.0,1000,,
763,47,463.0,1.0,1000,,
764,47,464.0,1.0,1000,,
765,47,465.0,1.0,1000,,
766,47,466.0,1.0,1000,,
767,47,467.0,1.0,1000,,
768,47,468.0,1.0,1000,,
769,47,214.0,1.0,1000,,
770,47,368.0,1.0,1000,,
771,47,202.0,1.0,1000,,
772,48,2.0,1.0,1000,,
773,48,149.0,1.0,1000,,
774,48,23.0,1.0,1000,,
775,48,25.0,1.0,1000,,
776,48,27.0,1.0,1000,,
777,48,420.0,1.0,1000,,
778,48,172.0,1.0,1000,,
779,48,45.0,1.0,1000,,
780,48,46.0,1.0,1000,,
781,48,469.0,1.0,1000,,
782,48,470.0,1.0,1000,,
783,48,471.0,1.0,1000,,
784,48,472.0,1.0,1000,,
785,48,473.0,1.0,1000,,
786,48,474.0,1.0,1000,,
787,48,475.0,1.0,1000,,
788,48,476.0,1.0,1000,,
789,48,477.0,1.0,1000,,
790,48,478.0,1.0,1000,,
791,48,479.0,1.0,1000,,
792,48,480.0,1.0,1000,,
793,48,481.0,1.0,1000,,
794,48,94.0,1.0,1000,,
795,48,482.0,1.0,1000,,
796,48,93.0,1.0,1000,,
797,48,483.0,1.0,1000,,
798,48,484.0,1.0,1000,,
799,48,485.0,1.0,1000,,
800,48,486.0,1.0,1000,,
801,48,487.0,1.0,1000,,
802,48,488.0,1.0,1000,,
803,48,489.0,1.0,1000,,
804,48,368.0,1.0,1000,,
805,49,288.0,1.0,1000,,
806,49,293.0,1.0,1000,,
807,49,490.0,1.0,1000,,
808,49,491.0,1.0,1000,,
809,49,106.0,1.0,1000,,
810,49,492.0,1.0,1000,,
811,49,493.0,1.0,1000,,
812,49,271.0,1.0,1000,,
813,49,494.0,1.0,1000,,
814,49,111.0,1.0,1000,,
815,49,495.0,1.0,1000,,
816,49,113.0,1.0,1000,,
