,0,0.1,1,1000,24,1.1
657,38.0,62.0,1,1000,,
658,38.0,380.0,1,1000,,
659,38.0,27.0,1,1000,,
660,38.0,127.0,1,1000,,
661,38.0,381.0,1,1000,,
662,38.0,382.0,1,1000,,
663,38.0,31.0,1,1000,,
664,39.0,128.0,1,1000,,
665,39.0,385.0,1,1000,,
666,39.0,386.0,1,1000,,
667,39.0,387.0,1,1000,,
668,39.0,384.0,1,1000,,
669,39.0,388.0,1,1000,,
670,39.0,132.0,1,1000,,
671,39.0,389.0,1,1000,,
672,39.0,8.0,1,1000,,
673,39.0,390.0,1,1000,,
674,39.0,258.0,1,1000,,
675,39.0,383.0,1,1000,,
676,39.0,27.0,1,1000,,
677,39.0,29.0,1,1000,,
678,39.0,31.0,1,1000,,
679,39.0,32.0,1,1000,,
680,39.0,36.0,1,1000,,
681,39.0,43.0,1,1000,,
682,39.0,181.0,1,1000,,
683,39.0,57.0,1,1000,,
684,39.0,62.0,1,1000,,
685,39.0,67.0,1,1000,,
686,39.0,233.0,1,1000,,
687,39.0,237.0,1,1000,,
688,39.0,379.0,1,1000,,
689,39.0,124.0,1,1000,,
690,39.0,254.0,1,1000,,
691,39.0,255.0,1,1000,,
692,40.0,128.0,1,1000,,
693,40.0,255.0,1,1000,,
694,40.0,391.0,1,1000,,
695,40.0,392.0,1,1000,,
696,40.0,393.0,1,1000,,
697,40.0,394.0,1,1000,,
698,40.0,395.0,1,1000,,
699,40.0,8.0,1,1000,,
700,40.0,396.0,1,1000,,
701,40.0,27.0,1,1000,,
702,40.0,30.0,1,1000,,
703,40.0,31.0,1,1000,,
704,40.0,33.0,1,1000,,
705,40.0,41.0,1,1000,,
706,40.0,42.0,1,1000,,
707,40.0,43.0,1,1000,,
708,40.0,62.0,1,1000,,
709,40.0,67.0,1,1000,,
710,40.0,78.0,1,1000,,
711,40.0,116.0,1,1000,,
712,40.0,254.0,1,1000,,
713,40.0,124.0,1,1000,,
714,40.0,126.0,1,1000,,
715,40.0,127.0,1,1000,,
716,41.0,255.0,1,1000,,
717,41.0,132.0,1,1000,,
718,41.0,43.0,1,1000,,
719,41.0,237.0,1,1000,,
720,41.0,116.0,1,1000,,
721,41.0,181.0,1,1000,,
722,41.0,57.0,1,1000,,
723,41.0,126.0,1,1000,,
724,41.0,124.0,1,1000,,
725,41.0,254.0,1,1000,,
726,41.0,127.0,1,1000,,
727,42.0,43.0,1,1000,,
728,42.0,397.0,1,1000,,
729,42.0,398.0,1,1000,,
730,42.0,399.0,1,1000,,
731,42.0,400.0,1,1000,,
732,42.0,375.0,1,1000,,
733,42.0,27.0,1,1000,,
734,42.0,60.0,1,1000,,
735,42.0,62.0,1,1000,,
736,43.0,5.0,1,1000,,
737,43.0,8.0,1,1000,,
738,43.0,16.0,1,1000,,
739,43.0,401.0,1,1000,,
740,43.0,402.0,1,1000,,
741,43.0,403.0,1,1000,,
742,43.0,404.0,1,1000,,
743,43.0,405.0,1,1000,,
744,43.0,406.0,1,1000,,
745,43.0,407.0,1,1000,,
746,43.0,408.0,1,1000,,
747,43.0,409.0,1,1000,,
748,43.0,410.0,1,1000,,
749,43.0,25.0,1,1000,,
750,43.0,154.0,1,1000,,
751,43.0,27.0,1,1000,,
752,43.0,157.0,1,1000,,
753,43.0,288.0,1,1000,,
754,43.0,47.0,1,1000,,
755,43.0,189.0,1,1000,,
756,43.0,195.0,1,1000,,
757,43.0,198.0,1,1000,,
758,43.0,202.0,1,1000,,
759,43.0,362.0,1,1000,,
760,44.0,328.0,1,1000,,
761,44.0,394.0,1,1000,,
762,44.0,43.0,1,1000,,
763,44.0,411.0,1,1000,,
764,44.0,27.0,1,1000,,
765,44.0,412.0,1,1000,,
766,44.0,413.0,1,1000,,
767,44.0,62.0,1,1000,,
768,45.0,416.0,1,1000,,
769,45.0,417.0,1,1000,,
770,45.0,418.0,1,1000,,
771,45.0,419.0,1,1000,,
772,45.0,420.0,1,1000,,
773,45.0,359.0,1,1000,,
774,45.0,360.0,1,1000,,
775,45.0,361.0,1,1000,,
776,45.0,415.0,1,1000,,
777,45.0,155.0,1,1000,,
778,45.0,46.0,1,1000,,
779,45.0,14.0,1,1000,,
780,45.0,24.0,1,1000,,
781,45.0,89.0,1,1000,,
782,45.0,27.0,1,1000,,
783,45.0,414.0,1,1000,,
784,45.0,95.0,1,1000,,
785,47.0,27.0,1,1000,,
786,47.0,443.0,1,1000,,
787,47.0,444.0,1,1000,,
788,47.0,445.0,1,1000,,
789,47.0,446.0,1,1000,,
790,47.0,447.0,1,1000,,
791,47.0,448.0,1,1000,,
792,47.0,449.0,1,1000,,
793,47.0,450.0,1,1000,,
794,47.0,451.0,1,1000,,
795,47.0,452.0,1,1000,,
796,47.0,453.0,1,1000,,
797,47.0,454.0,1,1000,,
798,47.0,455.0,1,1000,,
799,47.0,456.0,1,1000,,
800,47.0,457.0,1,1000,,
801,47.0,458.0,1,1000,,
802,47.0,459.0,1,1000,,
803,47.0,460.0,1,1000,,
804,47.0,461.0,1,1000,,
805,47.0,462.0,1,1000,,
806,47.0,463.0,1,1000,,
807,47.0,464.0,1,1000,,
808,47.0,465.0,1,1000,,
809,47.0,466.0,1,1000,,
810,47.0,467.0,1,1000,,
811,47.0,468.0,1,1000,,
812,47.0,214.0,1,1000,,
813,47.0,368.0,1,1000,,
814,47.0,202.0,1,1000,,
815,48.0,2.0,1,1000,,
816,48.0,149.0,1,1000,,
